time_s,pitch,motor,vbat
3.094224,0.147,-5.94,12.375
3.104452,0.145,-5.9,12.378
3.125463,0.144,-5.83,12.379
3.135753,0.143,-5.8,12.379
3.156437,0.143,-5.79,12.375
3.177222,0.144,-5.8,12.382
3.187419,0.147,-5.88,12.377
3.208386,0.15,-6.01,12.375
3.218965,0.152,-6.19,12.377
3.239532,0.154,-6.23,12.379
3.260168,0.156,-6.3,12.369
3.270713,0.156,-6.34,12.381
3.291728,0.158,-6.36,12.372
3.302211,0.159,-6.43,12.378
3.322583,0.162,-6.49,12.376
3.343473,0.167,-6.65,12.377
3.353976,0.173,-6.93,12.376
3.374587,0.182,-7.19,12.376
3.384927,0.192,-7.61,12.369
3.405824,0.202,-8.06,12.373
3.426680,0.211,-8.46,12.372
3.437176,0.221,-8.84,12.37
3.457863,0.231,-9.26,12.374
3.468222,0.241,-9.62,12.364
3.488940,0.25,-10.06,12.371
3.509947,0.258,-10.42,12.365
3.520332,0.266,-10.7,12.361
3.541114,0.271,-11.02,12.361
3.551653,0.275,-11.14,12.363
3.572770,0.278,-11.27,12.359
3.593718,0.281,-11.37,12.36
3.604061,0.281,-11.43,12.359
3.624941,0.279,-11.38,12.361
3.635180,0.273,-11.22,12.357
3.655854,0.265,-10.89,12.356
3.676794,0.254,-10.5,12.356
3.687230,0.24,-9.99,12.365
3.708364,0.225,-9.34,12.366
3.718939,0.207,-8.67,12.364
3.739901,0.19,-7.87,12.372
3.761027,0.171,-7.16,12.371
3.771419,0.15,-6.38,12.371
3.792646,0.128,-5.48,12.382
3.803310,0.103,-4.57,12.382
3.824264,0.076,-3.41,12.381
3.845153,0.046,-2.31,12.387
3.855611,0.014,-0.98,12.391
3.876456,-0.019,0.37,12.398
3.887018,-0.052,1.72,12.395
3.907688,-0.083,3.05,12.391
3.918289,-0.117,4.29,12.382
3.938824,-0.151,5.7,12.375
3.960452,-0.186,7.14,12.373
3.970665,-0.219,8.54,12.364
3.991237,-0.254,9.87,12.364
4.001529,-0.288,11.29,12.358
4.023190,-0.32,12.63,12.352
4.044116,-0.351,13.93,12.351
4.054902,-0.38,15.11,12.343
4.075382,-0.409,16.27,12.333
4.085926,-0.436,17.37,12.338
4.106766,-0.463,18.46,12.334
4.127678,-0.489,19.57,12.326
4.138073,-0.512,20.54,12.326
4.159024,-0.533,21.44,12.325
4.169854,-0.552,22.21,12.318
4.190807,-0.569,22.91,12.318
4.211134,-0.583,23.53,12.317
4.221853,-0.595,24.0,12.31
4.242917,-0.606,24.48,12.31
4.253495,-0.616,24.87,12.311
4.274701,-0.625,25.26,12.31
4.285265,-0.631,25.57,12.308
4.305580,-0.633,25.75,12.307
4.326247,-0.632,25.69,12.309
4.336925,-0.628,25.56,12.302
4.357334,-0.624,25.32,12.31
4.368000,-0.618,25.15,12.317
4.388598,-0.611,24.86,12.315
4.409602,-0.602,24.53,12.315
4.420158,-0.593,24.14,12.313
4.441039,-0.582,23.72,12.312
4.451623,-0.571,23.28,12.314
4.472441,-0.559,22.76,12.325
4.493677,-0.547,22.28,12.32
4.504092,-0.535,21.84,12.322
4.524832,-0.525,21.33,12.324
4.535302,-0.515,20.96,12.327
4.556399,-0.506,20.55,12.331
4.576918,-0.497,20.26,12.327
4.587362,-0.488,19.84,12.327
4.608103,-0.479,19.51,12.328
4.618607,-0.47,19.11,12.33
4.639718,-0.463,18.76,12.335
4.660633,-0.455,18.53,12.333
4.671290,-0.45,18.21,12.337
4.692487,-0.445,18.05,12.336
4.703055,-0.44,17.9,12.339
4.723927,-0.436,17.66,12.343
4.734616,-0.433,17.56,12.339
4.755740,-0.432,17.47,12.337
4.776446,-0.433,17.46,12.342
4.787081,-0.433,17.58,12.333
4.807578,-0.435,17.54,12.332
4.828350,-0.436,17.68,12.335
4.838839,-0.436,17.67,12.335
4.859584,-0.437,17.69,12.333
4.870249,-0.437,17.71,12.332
4.890999,-0.437,17.7,12.337
4.901780,-0.435,17.67,12.335
4.922459,-0.434,17.57,12.337
4.943216,-0.432,17.53,12.341
4.953900,-0.429,17.46,12.336
4.974932,-0.425,17.27,12.335
4.985328,-0.421,17.1,12.337
5.006000,-0.416,16.95,12.34
5.026744,-0.409,16.7,12.346
5.037385,-0.402,16.37,12.341
5.058299,-0.391,16.07,12.336
5.069020,-0.379,15.49,12.344
5.089791,-0.367,15.02,12.346
5.110639,-0.354,14.48,12.348
5.120964,-0.341,13.96,12.351
5.141908,-0.329,13.4,12.348
5.152164,-0.317,12.99,12.349
5.172838,-0.307,12.52,12.356
5.193494,-0.297,12.12,12.357
5.204056,-0.287,11.75,12.358
5.224825,-0.276,11.31,12.358
5.235125,-0.267,10.86,12.36
5.256086,-0.259,10.57,12.359
5.276788,-0.251,10.22,12.364
5.287328,-0.245,9.93,12.365
5.308272,-0.238,9.74,12.362
5.318868,-0.231,9.42,12.364
5.339695,-0.225,9.19,12.366
5.360464,-0.218,8.9,12.364
5.371051,-0.213,8.65,12.367
5.392104,-0.212,8.5,12.372
5.402438,-0.212,8.57,12.362
5.423530,-0.212,8.57,12.367
5.444049,-0.214,8.62,12.369
5.454420,-0.22,8.73,12.366
5.475527,-0.225,9.06,12.364
5.486192,-0.234,9.3,12.361
5.506819,-0.246,9.74,12.365
5.528056,-0.258,10.32,12.363
5.538625,-0.271,10.78,12.367
5.559664,-0.286,11.35,12.356
5.569905,-0.302,12.03,12.357
5.591284,-0.321,12.71,12.35
5.602006,-0.34,13.53,12.351
5.622499,-0.362,14.34,12.347
5.643303,-0.385,15.29,12.345
5.653512,-0.409,16.27,12.34
5.674706,-0.433,17.25,12.34
5.685376,-0.456,18.26,12.333
5.706169,-0.478,19.14,12.328
5.727054,-0.499,19.99,12.33
5.737725,-0.518,20.85,12.323
5.758983,-0.537,21.56,12.323
5.769456,-0.557,22.3,12.32
5.790626,-0.576,23.13,12.318
5.801223,-0.596,23.91,12.308
5.821970,-0.614,24.71,12.312
5.842846,-0.632,25.42,12.311
5.853183,-0.648,26.1,12.304
5.874108,-0.662,26.72,12.299
5.895166,-0.675,27.22,12.302
5.905660,-0.685,27.71,12.3
5.926455,-0.693,28.03,12.297
5.936977,-0.698,28.27,12.303
5.958171,-0.702,28.42,12.305
5.968796,-0.705,28.55,12.298
5.989616,-0.705,28.62,12.3
6.010891,-0.705,28.58,12.291
6.021389,-0.702,28.56,12.3
6.042361,-0.697,28.37,12.306
6.052740,-0.69,28.08,12.3
6.073481,-0.679,27.71,12.301
6.094249,-0.666,27.21,12.298
6.104825,-0.651,26.55,12.294
6.125916,-0.634,25.93,12.305
6.136519,-0.615,25.18,12.316
6.157272,-0.595,24.34,12.311
6.178205,-0.575,23.51,12.312
6.188484,-0.555,22.7,12.32
6.209704,-0.535,21.9,12.321
6.220327,-0.514,21.07,12.326
6.241419,-0.493,20.24,12.326
6.251960,-0.472,19.37,12.329
6.273351,-0.451,18.46,12.337
6.294253,-0.431,17.68,12.332
6.304617,-0.409,16.83,12.339
6.325564,-0.389,15.92,12.346
6.335921,-0.37,15.2,12.347
6.357021,-0.351,14.41,12.346
6.377810,-0.334,13.64,12.352
6.388418,-0.317,13.01,12.351
6.409132,-0.3,12.35,12.354
6.419802,-0.283,11.67,12.355
6.441031,-0.266,10.96,12.352
6.462119,-0.25,10.29,12.363
6.472853,-0.233,9.67,12.362
6.493779,-0.216,8.93,12.371
6.504047,-0.2,8.26,12.37
6.525299,-0.182,7.62,12.37
6.535868,-0.163,6.84,12.371
6.556895,-0.143,6.02,12.376
6.577693,-0.124,5.24,12.382
6.588012,-0.102,4.46,12.379
6.608802,-0.082,3.51,12.386
6.619344,-0.063,2.71,12.389
6.640328,-0.043,1.98,12.389
6.661484,-0.024,1.18,12.388
6.671693,-0.003,0.38,12.391
6.694197,0.015,-0.45,12.394
6.704654,0.033,-1.17,12.395
6.725419,0.051,-1.87,12.389
6.735733,0.068,-2.56,12.393
6.757002,0.085,-3.28,12.387
6.778538,0.103,-3.95,12.384
6.788766,0.119,-4.7,12.388
6.809525,0.137,-5.28,12.373
6.820139,0.153,-6.04,12.377
6.840763,0.17,-6.7,12.376
6.851353,0.186,-7.4,12.368
6.872636,0.201,-8.0,12.372
6.893608,0.214,-8.58,12.364
6.903977,0.225,-9.02,12.36
6.925419,0.235,-9.45,12.363
6.935718,0.245,-9.82,12.36
6.956267,0.252,-10.19,12.36
6.977220,0.258,-10.43,12.358
6.987561,0.264,-10.65,12.362
7.008669,0.269,-10.82,12.364
7.018945,0.272,-11.05,12.357
7.040068,0.272,-11.13,12.364
7.060809,0.27,-11.0,12.358
7.071022,0.267,-10.86,12.355
7.091799,0.264,-10.75,12.359
7.102394,0.259,-10.63,12.361
7.123413,0.254,-10.32,12.355
7.144274,0.25,-10.14,12.362
7.154809,0.245,-9.97,12.363
7.175724,0.242,-9.79,12.362
7.186372,0.239,-9.68,12.362
7.207433,0.236,-9.58,12.361
7.228342,0.233,-9.48,12.369
7.238743,0.229,-9.32,12.364
7.260036,0.224,-9.19,12.362
7.270538,0.218,-8.92,12.368
7.291829,0.213,-8.68,12.368
7.302262,0.207,-8.46,12.371
7.323015,0.2,-8.2,12.366
7.343620,0.194,-7.89,12.369
7.354075,0.186,-7.65,12.368
7.375121,0.179,-7.35,12.373
7.385681,0.171,-7.01,12.369
7.406434,0.164,-6.71,12.374
7.427590,0.155,-6.41,12.377
7.437939,0.146,-6.01,12.375
7.458628,0.137,-5.62,12.381
7.468939,0.128,-5.3,12.38
7.489664,0.118,-4.9,12.387
7.510343,0.107,-4.46,12.385
7.520831,0.096,-4.02,12.385
7.542117,0.088,-3.55,12.377
7.552786,0.079,-3.31,12.387
7.573963,0.071,-2.97,12.384
7.595129,0.067,-2.66,12.388
7.605347,0.061,-2.56,12.39
7.626494,0.053,-2.27,12.392
7.637117,0.046,-1.93,12.39
7.658044,0.041,-1.64,12.391
7.668449,0.035,-1.52,12.386
7.689262,0.032,-1.27,12.395
7.710199,0.029,-1.22,12.395
7.721085,0.028,-1.1,12.395
7.742148,0.026,-1.11,12.392
7.752706,0.025,-0.96,12.396
7.773474,0.028,-1.02,12.386
7.794863,0.031,-1.18,12.394
7.805293,0.039,-1.38,12.389
7.826231,0.048,-1.83,12.39
7.836594,0.059,-2.21,12.388
7.857340,0.073,-2.73,12.385
7.868195,0.088,-3.35,12.383
7.889350,0.104,-3.99,12.381
7.910214,0.118,-4.66,12.384
7.920824,0.134,-5.23,12.377
7.941588,0.151,-5.9,12.379
7.952170,0.167,-6.61,12.373
7.972795,0.185,-7.25,12.373
7.993852,0.202,-7.98,12.362
8.004095,0.221,-8.69,12.367
8.025264,0.241,-9.52,12.363
8.035975,0.261,-10.31,12.359
8.057058,0.279,-11.13,12.355
8.077756,0.297,-11.86,12.353
8.087937,0.314,-12.58,12.355
8.109159,0.33,-13.22,12.352
8.119452,0.344,-13.8,12.349
8.140482,0.36,-14.35,12.347
8.161310,0.375,-15.04,12.344
8.171814,0.391,-15.64,12.337
8.193303,0.405,-16.27,12.34
8.203566,0.42,-16.86,12.338
8.224207,0.435,-17.43,12.338
8.234775,0.452,-18.09,12.335
8.255509,0.468,-18.79,12.331
8.276324,0.485,-19.45,12.328
8.286675,0.501,-20.1,12.321
8.307407,0.516,-20.74,12.324
8.328698,0.531,-21.36,12.322
8.338896,0.546,-21.92,12.319
8.359743,0.563,-22.55,12.31
8.370334,0.581,-23.33,12.309
8.391458,0.599,-24.01,12.32
8.402180,0.613,-24.77,12.31
8.423327,0.628,-25.27,12.307
8.444436,0.644,-25.89,12.299
8.454795,0.66,-26.52,12.305
8.475656,0.675,-27.17,12.3
8.485866,0.69,-27.77,12.298
8.506604,0.705,-28.39,12.296
8.527282,0.716,-28.97,12.295
8.537474,0.726,-29.31,12.296
8.558627,0.735,-29.72,12.292
8.569261,0.743,-30.0,12.292
8.589762,0.751,-30.32,12.296
8.610844,0.757,-30.67,12.283
8.621551,0.763,-30.86,12.293
8.642470,0.769,-31.09,12.29
8.652719,0.773,-31.32,12.285
8.673697,0.776,-31.41,12.284
8.694816,0.776,-31.53,12.283
8.705037,0.777,-31.42,12.292
8.725823,0.776,-31.51,12.284
8.736518,0.774,-31.4,12.284
8.757761,0.771,-31.26,12.287
8.778357,0.766,-31.17,12.291
8.788980,0.759,-30.87,12.289
8.809958,0.75,-30.5,12.288
8.820318,0.739,-30.09,12.289
8.841080,0.726,-29.65,12.286
8.851737,0.71,-29.0,12.292
8.872571,0.692,-28.26,12.297
8.893437,0.674,-27.52,12.3
8.904080,0.655,-26.79,12.3
8.924829,0.632,-25.94,12.305
8.935218,0.609,-24.92,12.31
8.956169,0.586,-24.01,12.311
8.977259,0.564,-23.05,12.315
8.987513,0.542,-22.17,12.32
9.008433,0.521,-21.32,12.325
9.018790,0.499,-20.47,12.323
9.039314,0.476,-19.57,12.325
9.060571,0.456,-18.63,12.336
9.071072,0.436,-17.87,12.335
9.091800,0.418,-17.08,12.339
9.102372,0.402,-16.4,12.335
9.123118,0.385,-15.79,12.342
9.143694,0.371,-15.12,12.343
9.154000,0.356,-14.6,12.344
9.174611,0.341,-13.98,12.344
9.185273,0.328,-13.35,12.347
9.205884,0.315,-12.89,12.357
9.226660,0.304,-12.4,12.354
9.237328,0.293,-12.02,12.355
9.258241,0.284,-11.56,12.357
9.268974,0.277,-11.26,12.357
9.289438,0.271,-11.02,12.357
9.310303,0.265,-10.78,12.362
9.320774,0.257,-10.55,12.359
9.341915,0.25,-10.19,12.358
9.352464,0.242,-9.9,12.364
9.373563,0.236,-9.57,12.364
9.394538,0.231,-9.4,12.358
9.404766,0.227,-9.19,12.364
9.425948,0.224,-9.11,12.361
9.436102,0.22,-8.95,12.361
9.456797,0.215,-8.77,12.367
9.477440,0.211,-8.59,12.367
9.487958,0.205,-8.39,12.371
9.508511,0.198,-8.11,12.362
9.518715,0.19,-7.79,12.366
9.539428,0.181,-7.48,12.369
9.560538,0.173,-7.1,12.367
9.570980,0.165,-6.77,12.376
9.591716,0.158,-6.44,12.373
9.602183,0.151,-6.18,12.374
9.622601,0.145,-5.92,12.377
9.643541,0.139,-5.68,12.369
9.654032,0.134,-5.45,12.374
9.674888,0.13,-5.26,12.376
9.685431,0.127,-5.15,12.384
9.706332,0.124,-5.07,12.375
9.727128,0.121,-4.94,12.371
9.737531,0.116,-4.78,12.38
9.758156,0.112,-4.56,12.374
9.768783,0.107,-4.41,12.382
9.789852,0.104,-4.22,12.38
9.810801,0.102,-4.09,12.385
9.821329,0.104,-4.09,12.385
9.841998,0.109,-4.3,12.381
9.852194,0.117,-4.52,12.384
9.872935,0.126,-4.95,12.38
9.893962,0.137,-5.36,12.377
9.904260,0.148,-5.85,12.371
9.925205,0.161,-6.35,12.369
9.935611,0.176,-6.87,12.373
9.956263,0.19,-7.54,12.373
9.977292,0.206,-8.11,12.362
9.987809,0.225,-8.83,12.367
10.008592,0.247,-9.67,12.358
